User-ID,ISBN,Book-Rating,Avg_User_Rating,Num_Ratings_User,Book_Popularity,Book_Pages,Book_Year,Rating_Category
276725,034545104X,0,4.37,412,55.7,308,1994,Bajo
276726,0155061224,5,9.56,278,36.7,1177,2000,Medio
276727,0446520802,0,7.59,493,19.6,413,1983,Bajo
276729,052165615X,3,6.39,16,24.9,418,1997,Bajo
276729,0521795028,6,2.4,13,22.2,1007,1986,Medio
276733,2080674722,0,2.4,356,54.9,443,1995,Bajo
276736,3257224281,8,1.52,356,90.6,579,2014,Alto
276737,0600570967,6,8.8,318,91.3,184,1991,Medio
276744,038550120X,7,6.41,427,5.5,94,1986,Alto
276745,342310538,10,7.37,87,8.0,673,2020,Alto
276746,0425115801,0,1.19,78,24.5,974,1989,Bajo
276746,0449006522,0,9.73,416,25.5,644,1980,Bajo
276746,0553561618,0,8.49,67,9.5,815,1991,Bajo
276746,055356451X,0,2.91,347,38.8,342,2006,Bajo
276746,0786013990,0,2.64,211,58.8,585,2007,Bajo
276746,0786014512,0,2.65,214,57.8,683,1997,Bajo
276747,0060517794,9,3.74,185,54.3,515,1980,Alto
276747,0451192001,0,5.72,449,33.9,98,2002,Bajo
276747,0609801279,0,4.89,453,70.6,710,2018,Bajo
276747,0671537458,9,3.62,433,82.6,508,1996,Alto
276747,0679776818,8,6.51,33,34.6,746,2021,Alto
276747,0943066433,7,2.26,115,8.6,811,1980,Alto
276747,1570231028,0,3.63,275,29.6,474,2017,Bajo
276747,1885408226,7,4.3,420,13.7,804,1983,Alto
276748,0747558167,6,5.1,499,46.7,926,1994,Medio
276748,3442437407,0,8.07,198,15.6,710,2000,Bajo
276751,033390804X,0,2.8,380,46.3,117,2000,Bajo
276751,3596218098,8,5.63,143,22.1,558,2001,Alto
276754,0684867621,8,6.33,228,73.9,785,1993,Alto
276755,0451166892,5,1.42,120,2.8,259,2014,Medio
276760,8440682697,10,6.47,353,55.5,753,1983,Alto
276762,034544003X,0,2.53,24,16.9,173,2014,Bajo
276762,0380000059,0,1.59,27,0.1,845,2011,Bajo
276762,0380711524,5,9.54,433,86.9,341,2007,Medio
276762,0451167317,0,9.69,75,67.2,470,1991,Bajo
276762,0451454952,0,8.28,241,9.9,861,2009,Bajo
276762,0843920262,0,3.74,23,66.4,99,1988,Bajo
276762,3404122879,0,1.88,161,61.2,232,1998,Bajo
276762,3404182928,0,7.16,41,47.3,296,1995,Bajo
276762,3404611306,0,4.96,238,41.9,1161,2009,Bajo
276762,342662429,0,2.1,239,88.7,699,1980,Bajo
276762,3426690179,0,5.46,56,24.5,599,2002,Bajo
276762,3442424216,0,1.31,413,39.8,610,1991,Bajo
276762,3442425573,0,9.18,415,32.9,121,1984,Bajo
276762,3453092007,8,3.33,449,77.1,819,1999,Alto
276762,3453157745,0,6.96,98,91.6,605,1982,Bajo
276762,3453176944,0,3.81,146,85.0,553,1981,Bajo
276762,3453185137,0,5.68,466,79.8,677,2022,Bajo
276762,3453185323,0,5.92,262,98.7,710,1999,Bajo
276762,3453213025,3,2.66,436,69.7,557,1981,Bajo
276762,3453877241,0,9.73,40,75.1,1144,2019,Bajo
276762,3492226604,0,7.98,193,98.3,210,2014,Bajo
276762,3517017442,0,9.46,239,0.7,176,1983,Bajo
276762,3596125006,0,9.05,42,63.4,539,2015,Bajo
276762,B0000BLD7X,0,6.38,222,73.9,288,2019,Bajo
276762,N3453124715,4,9.3,196,91.8,225,1985,Medio
276765,9029716894,0,1.8,288,88.4,259,1993,Bajo
276768,9057868059,4,2.76,10,84.2,408,1994,Medio
276772,0140279091,0,1.41,235,94.6,683,2016,Bajo
276772,0553572369,7,3.93,325,53.7,1106,2012,Alto
276772,0571058086,0,4.5,265,0.7,550,1998,Bajo
276772,3499230933,10,3.44,69,1.1,361,1991,Alto
276772,3596151465,10,8.46,445,54.5,160,2022,Alto
276774,0099543818,0,4.21,139,43.5,569,1988,Bajo
276774,3404147723,0,3.53,355,45.1,1102,1998,Bajo
276774,3423111321,0,5.88,219,40.0,899,2011,Bajo
276774,3442136644,9,2.27,196,91.8,982,2007,Alto
276774,3492232000,0,8.22,74,35.9,457,2007,Bajo
276780,8434811634,0,1.67,103,85.6,673,2010,Bajo
276780,8484330478,7,9.88,225,90.3,1178,2015,Alto
276780,8484332039,7,7.95,123,50.0,768,1992,Alto
276786,2864322102,6,2.79,102,44.7,601,2021,Medio
276786,8402065945,0,1.05,264,76.1,829,2012,Bajo
276786,8423314901,0,8.34,433,70.8,369,2021,Bajo
276786,842333533X,0,7.36,408,32.9,1119,1997,Bajo
276786,8427911769,0,7.56,487,10.3,716,2008,Bajo
276786,8433914456,0,7.94,161,26.5,677,2018,Bajo
276786,8437606322,8,1.67,233,13.1,1110,1987,Alto
276786,8445072919,0,4.23,491,29.5,1183,2001,Bajo
276786,8466300821,6,2.04,275,26.2,125,1980,Medio
276786,847765011X,0,8.77,258,63.8,659,2010,Bajo
276786,8478442588,6,6.61,311,95.4,528,1999,Medio
276786,8495368099,0,3.98,139,68.6,637,2015,Bajo
276788,0345443683,8,1.57,227,92.7,642,2002,Alto
276788,043935806X,7,3.8,273,78.4,413,1996,Alto
276788,055310666X,10,3.93,426,72.8,358,1989,Alto
276796,0330332775,5,7.57,317,41.4,1136,1988,Medio
276796,0330367358,0,6.74,387,32.5,316,1996,Bajo
276798,0006379702,5,8.98,86,84.6,82,1982,Medio
276798,3423084049,0,5.25,291,90.5,89,2012,Bajo
276798,3442131340,7,2.08,469,45.2,735,1980,Alto
276798,3442437407,0,7.42,217,0.9,309,1999,Bajo
276798,3446202102,0,7.85,359,79.3,785,1981,Bajo
276798,3453073398,0,6.05,66,28.5,316,1995,Bajo
276798,3453115783,0,7.94,257,1.0,716,1988,Bajo
276798,3499134004,0,5.44,135,80.5,688,1993,Bajo
276798,349915398X,0,5.7,404,51.7,1078,1980,Bajo
276798,3548603203,6,4.85,427,68.5,1070,2014,Medio
276798,3764501383,0,1.23,375,91.5,495,1997,Bajo
276798,3791535889,0,1.97,390,54.1,337,1980,Bajo
276800,0061054143,0,1.28,55,50.3,1131,2022,Bajo
276800,0061054151,0,6.73,356,29.1,1145,1984,Bajo
276800,0061056774,0,3.83,243,30.5,843,1990,Bajo
276800,0671021346,0,5.58,252,79.7,1155,2017,Bajo
276800,0671024108,0,9.17,21,44.9,824,2003,Bajo
276800,1562827898,7,3.24,307,16.4,326,2018,Alto
276803,9726954835,0,4.69,430,9.5,1012,2011,Bajo
276804,0064405176,0,7.8,163,47.3,785,1995,Bajo
276804,0439104769,0,3.06,356,46.5,785,1982,Bajo
276804,0440498058,8,1.69,264,65.3,163,1987,Alto
276806,8807817144,0,3.61,498,47.1,821,2011,Bajo
276806,8845915913,0,2.45,68,14.3,206,2001,Bajo
276808,0395547032,10,9.37,107,50.8,1062,1996,Alto
276811,0440414121,10,8.27,400,90.7,304,2006,Alto
276812,8879839993,8,6.7,67,15.9,1104,1982,Alto
276813,8401328322,0,8.84,199,69.0,157,2005,Bajo
276813,8401461189,0,8.23,192,59.4,331,2014,Bajo
276813,8401471796,0,2.68,2,74.9,670,1992,Bajo
276813,8423996565,8,9.03,257,15.1,439,1996,Alto
276813,8424130081,0,5.85,442,94.2,578,2009,Bajo
276813,8426449476,8,8.27,1,62.1,927,2008,Alto
276813,8426449573,6,9.06,358,84.7,1147,1993,Medio
276813,8478884831,8,3.86,115,24.7,503,2009,Alto
276813,8478885218,6,1.99,391,73.9,558,2016,Medio
276813,8478885463,6,3.05,88,78.1,145,2017,Medio
276813,8478886044,8,4.84,197,39.7,251,1988,Alto
276813,8495618052,0,8.36,469,38.4,1110,2011,Bajo
276814,0091830893,8,8.75,92,65.8,140,1983,Alto
276814,0586207414,7,1.06,274,9.3,282,1985,Alto
276814,0812571029,9,5.6,344,73.6,708,1980,Alto
276817,0671749609,0,4.76,160,4.3,1060,2004,Bajo
276820,0140062718,0,3.0,173,19.1,858,2019,Bajo
276820,0140260498,9,2.08,33,66.4,961,2017,Alto
276822,0060096195,10,4.04,458,9.8,302,1982,Alto
276822,0141310340,9,9.49,73,97.2,773,2000,Alto
276822,0142302198,10,3.91,433,86.8,490,1993,Alto
276822,0156006065,9,5.67,417,62.6,1045,2009,Alto
276822,0375821813,9,7.33,481,81.9,113,1981,Alto
276822,038076041X,10,4.27,455,88.8,54,2001,Alto
276822,0439087597,0,9.75,196,25.9,121,1992,Bajo
276822,0439401399,6,9.66,284,84.9,666,2004,Medio
276822,0552546933,9,3.27,87,19.5,379,2022,Alto
276822,0689804458,8,5.48,309,41.3,398,1990,Alto
276822,0699854289,10,3.71,224,55.8,414,1989,Alto
276822,0786812508,9,3.56,44,71.4,840,2016,Alto
276822,0786817070,10,1.33,336,3.0,465,2004,Alto
276822,0805057706,10,6.49,494,29.1,674,2014,Alto
276822,1551925060,8,5.52,439,60.9,556,1998,Alto
276822,1573248533,10,1.46,138,35.7,572,2007,Alto
276827,000651118X,7,3.51,270,77.5,755,2021,Alto
276828,0385272324,0,9.17,359,65.2,299,2022,Bajo
276828,2038701962,0,3.16,36,23.4,950,1989,Bajo
276828,2070264564,0,2.3,34,14.6,298,1994,Bajo
276828,2070334430,0,5.41,88,62.9,903,2011,Bajo
276828,2070403734,0,9.87,146,45.0,497,1982,Bajo
276828,2080680676,0,3.18,16,16.9,132,2003,Bajo
276828,2232122263,0,7.05,233,32.6,388,1989,Bajo
276828,2253044903,0,7.85,421,30.3,1153,2009,Bajo
276828,2253150711,7,3.14,41,10.8,144,2020,Alto
276828,2266076000,0,7.55,255,54.7,961,2012,Bajo
276828,2277221678,0,4.31,281,76.4,308,2004,Bajo
276828,2290321028,0,6.69,126,57.5,171,2018,Bajo
276828,2842190009,0,6.7,8,82.6,1197,2018,Bajo
276830,0440225825,9,5.82,472,12.8,584,2004,Alto
276832,0316781266,0,1.81,468,43.6,1002,2017,Bajo
276832,0345446860,5,8.52,368,60.9,954,1991,Medio
276833,0671876244,0,3.89,350,67.6,996,1983,Bajo
276835,3125785006,10,2.68,340,69.6,141,2007,Alto
276837,0380005239,5,1.37,402,72.9,1097,1999,Medio
276838,1593080255,0,6.32,324,65.1,1180,1989,Bajo
276840,0330201700,0,7.1,176,9.4,101,2010,Bajo
276840,0385729340,0,1.15,228,69.5,760,1998,Bajo
276842,3809407536,7,5.61,454,72.5,343,1981,Alto
276847,0446364193,0,3.04,323,99.3,349,1983,Bajo
276847,3257200552,5,6.81,402,69.3,394,1994,Medio
276847,3379015180,0,2.57,367,68.7,243,2017,Bajo
276847,3404145909,8,7.22,488,51.5,485,2012,Alto
276847,3404148576,8,4.48,18,86.8,434,1997,Alto
276847,3404921178,7,9.43,56,99.7,904,2019,Alto
276847,3423071516,10,2.24,407,77.9,800,2011,Alto
276847,3423204885,0,4.07,35,61.3,369,2011,Bajo
276847,3423205806,0,2.02,390,7.9,288,1992,Bajo
276847,3426029553,8,9.32,118,72.7,441,1995,Alto
276847,3426622610,0,8.9,282,70.9,697,2012,Bajo
276847,3426671298,8,3.32,254,77.6,62,2013,Alto
276847,344215121X,9,6.94,213,12.5,590,1993,Alto
276847,3442413508,10,8.35,61,65.4,739,1981,Alto
276847,3442422035,9,6.0,88,29.6,306,1992,Alto
276847,3442435773,8,5.77,271,76.0,157,2008,Alto
276847,3442437717,7,3.18,347,24.0,232,2022,Alto
276847,3442441080,10,1.84,32,68.4,416,2021,Alto
276847,3442442796,0,9.07,396,29.5,1069,2013,Bajo
276847,3442444020,8,9.1,133,0.9,880,1996,Alto
276847,3442446414,10,6.7,64,63.3,911,1982,Alto
276847,3442448530,7,4.05,199,11.3,923,2009,Alto
276847,3442449820,9,4.14,256,65.9,222,1983,Alto
276847,3453137442,6,7.53,342,92.6,809,2010,Medio
276847,3453870190,0,9.07,155,96.9,820,1984,Bajo
276847,3455077331,0,8.98,463,23.6,501,1981,Bajo
276847,347354034X,7,8.02,231,80.9,520,1983,Alto
276847,3492231322,9,6.78,301,35.4,1154,2017,Alto
276847,349912176X,0,1.76,35,90.0,370,2006,Bajo
276847,3499222213,7,2.45,26,78.7,490,2006,Alto
276847,3499228297,6,9.09,23,7.4,448,1994,Medio
276847,3499232529,0,6.46,141,40.7,237,2018,Bajo
276847,3499233436,0,1.08,474,33.7,934,2017,Bajo
276847,3499264528,0,1.91,387,78.5,899,1993,Bajo
276847,3499433443,8,6.97,285,41.0,792,1997,Alto
276847,3506464078,10,1.05,450,68.5,911,2008,Alto
276847,3548602967,0,2.45,320,60.2,564,1986,Bajo
276847,3551551677,10,5.94,156,97.6,230,2017,Alto
276847,3551551685,10,7.23,471,93.8,459,2003,Alto
276847,3551551693,10,6.87,420,42.8,565,2017,Alto
276847,3551551936,10,3.02,113,72.4,961,1985,Alto
276847,359621078X,9,7.41,390,82.9,909,1999,Alto
276847,3608932240,7,3.14,139,89.9,1145,2021,Alto
276847,360893541X,10,3.93,422,6.8,231,2015,Alto
276847,3608935428,10,7.72,374,30.2,153,1989,Alto
276847,3608935436,10,6.85,418,32.0,336,2001,Alto
276847,374661922X,0,8.64,209,43.4,136,2012,Bajo
276847,3770131495,0,6.92,323,16.9,435,2002,Bajo
276847,3809024589,8,6.11,364,49.6,1146,2020,Alto
276847,3821815191,10,1.84,430,66.3,652,2021,Alto
276847,3932069234,5,4.31,482,49.7,748,1983,Medio
276848,3423100424,0,3.39,86,66.6,492,2000,Bajo
276848,3442096596,0,3.2,285,6.6,634,1992,Bajo
276848,3442440777,0,9.76,60,87.6,303,2021,Bajo
276848,3453009304,0,4.54,54,93.9,1001,1992,Bajo
276848,3453042905,0,9.03,93,61.8,404,1991,Bajo
276848,3453061187,0,6.68,325,88.1,459,2003,Bajo
276848,3453071174,0,8.15,458,13.1,478,2014,Bajo
276848,3453127013,0,5.52,458,79.7,524,1998,Bajo
276848,3453211014,0,6.19,373,11.9,637,1988,Bajo
276848,3462026062,8,5.43,265,40.8,1026,1992,Alto
276848,349926028X,0,2.76,382,32.4,966,2001,Bajo
276848,3596122279,0,7.5,213,58.6,391,2019,Bajo
276848,3596287200,0,3.53,333,30.2,523,2015,Bajo
276848,3922524443,0,1.22,10,63.7,446,2007,Bajo
276850,0449217264,7,6.81,358,36.7,1118,2020,Alto
276852,0140621741,0,2.59,203,86.1,740,1986,Bajo
276852,055321358X,0,9.46,196,63.4,783,2009,Bajo
276853,8420457477,1,9.59,58,21.5,1090,2010,Bajo
276853,8448034023,7,9.23,494,33.6,268,1990,Alto
276854,0671034944,5,4.33,256,84.7,645,2009,Medio
276854,074931012X,5,1.14,223,38.6,240,1994,Medio
276854,0843946415,0,9.35,369,53.6,693,1992,Bajo
276856,2010173929,0,4.85,180,64.9,143,2014,Bajo
276856,20103389,0,9.7,418,34.8,1168,2014,Bajo
276856,2012003494,0,9.67,362,29.4,1155,1999,Bajo
276856,2013218826,0,8.68,35,47.5,389,2022,Bajo
276856,2013220162,0,3.65,359,21.5,857,2002,Bajo
276856,207033015X,0,4.47,103,28.4,409,2016,Bajo
276856,2070332985,0,8.66,161,6.2,161,1999,Bajo
